ID,Tigrigna,English
1,ቀንዲ ተዋሳኢ,"star, hero"
2,ዋጋ ዘይብሉ,invalid
3,ሓቓዊ,accurate
4,ምድራዝ,massage
5,ፈኲስ,light
6,መቑሰልቲ,"injury, wound"
7,ገያሻይ,"traveller, passenger"
8,ጭሩ,bird
9,ደንቆሮ,"stupid, ignorant"
10,ካቲም,ring
11,ሳዕሪ,"grass, weed, lawn"
12,ማሕታ,spark
13,ዕንጭራር,cricket
14,ሃብታም,"rich, wealhy"
15,ወጔሳ,surgeon
16,ተዓዘበ,"keep watch over watch, supervise, observe"
17,ሰብኣይ,man
18,ጻጸ,ant
19,ቅብኣት,"ointment, cream"
20,ኣለዎ,has
21,ወርቂ,gold
22,ስራሕ,work
23,ነቢይ,prophet
24,ኮማንደር,commanding officer
25,ጠመተ,"see, observe, look at watch"
26,ተዋግአ,fight
