Tigrigna,English,file_name
"ሀንዛ","thin/thick home made cornbread"
"ሂወታዊ","alive, living"
"ሂወት","life"
"ሃለወ","exist, live"
"ሃለዋት ኣጥፈአ","disappear"
"ሃለው በለ","search"
"ሃልሃልታ","flame, fire"
"ሃመማ","fly"
"ሃረመ","knock, beat"
"ሃሪ","shit"
"ሃሳስ","dark, dim, faded"
"ሃሳይ","crafty, cunning, malicious"
"ሃቀነ","aim"
"ሃበ","give, supply, provide, offer, reward"
"ሃብተመ","become rich"
"ሃብቲ","resources, wealth"
"ሃብታም","rich, wealhy"
"ሃታፍ","talkative, gossiping"
"ሃነጸ","construct, build"
"ሃናን","passive, inert"
"ሃናጺ","instructive, educational"
"ሃንቀውታ","anxiety"
"ሃንደበታዊ","surprising, amazing"
"ሃንደበት","surprise, sudden"
"ሃንዳፍ","imprudent"
"ሃካይ","lazy, sluggish"
"ሃወኸ","bother, disturb"
"ሃዋህው","atmosphere"
"ሃይማኖተኛ","pious"
"ሃይማኖታዊ","religious"
"ሃይማኖት","religion"
"ሃደመ","flee, avoid, shun"
"ሃደነ","hunt, dispel, chase"
"ሃደደ","threaten"
"ሃዳናይ","hunter"
"ሃድአ","calm, pacify, soothe"
"ሃገረሰብ","countryside, village rural area"
"ሃገራዊ","national, countrymen"
"ሃገር","country"
"ሃጸይ","emperor"
"ሃፋ","steam"
"ህሉው","current, present"
"ህላዌ","existence, presence"
"ህራይ በላ","accept"
"ህበይ","monkey"
"ህቦብላ","gust, burst"
"ህንጡይ","curious"
"ህንጥይና","curiosity"
"ህንጻ","building, construction"
"ህኩይ","lazy"
"ህዉኽ","imprudent"
"ህዝቢ","people"
"ህዝባዊ","public"
"ህያብ","gift"
"ህይወት ሃበ","animate, liven"
"ህዱእ","calm, quiet"
"ህድማ","escape"
"ህድኣት","calm, silence"
"ህጁም","attack"
"ህጹጽ","urgent"
"ሆስፒታል","hospital"
"ሆቴል","hotel"
"ለሓሰ","lick"
"ለመመ","crawl"
"ለመነ","beg"
"ለመደ","get used to"
"ለመጸ","varnish"
"ለሚን","lemon, lime"
"ለማሚ","reptile"
"ለማኒ","beggar"
"ለማጻይ","painter"
"ለምዒ","greenery"
"ለቐቐ","release, free"
"ለበሰ","wear, dress"
"ለባም","wise"
"ለኣኸ","send someone to do something"
"ለካቲት","February"
"ለወሰ","knead"
"ለወየ","bend down, stoop"
"ለወጠ","change, switch"
"ለዋህ","kind"
"ለዋወጠ","exchange"
"ለውሃት","kindness"
"ለውጢ","change"
"ለዓለ","raise"
"ለዘበ","soften"
"ለይቲ","night"
"ለይታዊ","night-time"
"ለገሰ","grant"
"ለገበ","patch"
"ለጋስ","generous"
"ለጠፈ","stick, glue"
"ሉል","pearl"
"ሊላ","violet"
"ሊቕ","skilful person"
"ሊተር","litre"
"ላህመት","cream"
"ላም","cow"
"ላዕላይ","higher"
"ላዕላይ-ደረጃ","college, university"
"ላግጺ","joke"
"ላጸየ","shave"
"ሌላ","acquaintance"
"ልሙዳዊ","ordinarily"
"ልሙድ","common, normal ordinary"
"ልሙጽ","smooth"
"ልምሉም","soft"
"ልምምድ","practice"
"ልምዲ","tradition, custom"
"ልምዳዊ","traditional"
"ልቓሕ","loan"
"ልቡጥ","warm, tepid"
"ልቢ","heart"
"ልባስ","worn"
"ልባዊ","cordial"
"ልብ ወለድ","novel"
"ልቦና","wisdom"
"ልኡኽ","mission, task"
"ልክዓዊ","accurate"
"ልክዕ","exact, accuracy"
"ልክዕነት","perfection, accuracy"
"ልውህና","generosity"
"ልውውጥ","exchange"
"ልዑል","noble"
"ልዙብ","polite"
"ልደት","birth, birthday Christmas"
"ሎሚ","today"
"ሐምሊ ኣድሪ","green mustard"
"ሐብአ","hide"
"ሐንጎል","brain"
"ሐገዝ","advocate"
"ሐጋዚት","advocator"
"ሑአታ","cough"
"ሑጡብ","brick"
"ሑጻ","sand"
"ሓለመ","dream"
"ሓለቓ","chief"
"ሓለፈ","pass, get around, cross"
"ሓሊፈ","passed"
"ሓላዊ","guard"
"ሓላዊት","female guard"
"ሓላው ርሻን","superintendent caretaker"
"ሓላፊ","director"
"ሓላፊት","female director"
"ሓላፍነት","responsibility"
"ሓሙስ","Thursday"
"ሓሙሻይ ክፍሊ","fifth grade"
"ሓሙሽተ","five"
"ሓሙኹሽቲ","ashes"
"ሓምለ","July"
"ሓምሊ","spinach, green collards"
"ሓምሳ","fifty"
"ሓምሸሸ","crush"
"ሓምበሰ","swim"
"ሓረሰ","plough"
"ሓረሰት","give birth"
